[09:45:49]===============================================================
[09:45:49]     START MEASURE :: 아이스 아메리카노
[09:47:59]  START OUTLET         : 0.06 sec
[09:47:59]  START OUTLET         : 0.14 sec
[09:47:59]  START OUTLET         : 0.06 sec
[09:47:59]  START OUTLET         : 0.14 sec
[09:47:59]  START OUTLET         : 0.07 sec
[09:47:59]  START OUTLET         : 0.13 sec
[09:48:00]  START OUTLET         : 0.07 sec
[09:48:00]  START OUTLET         : 0.14 sec
[09:48:00]  START OUTLET         : 0.06 sec
[09:48:00]  START OUTLET         : 0.13 sec
[09:48:00]  START OUTLET         : 0.08 sec
[09:48:00]  START OUTLET         : 0.13 sec
[09:48:00]  START OUTLET         : 0.06 sec
[09:48:00]  START OUTLET         : 0.13 sec
[09:48:00]  START OUTLET         : 0.08 sec
[09:48:00]  START OUTLET         : 0.12 sec
[09:48:01]  START OUTLET         : 0.07 sec
[09:48:01]  START OUTLET         : 0.13 sec
[09:48:01]  START OUTLET         : 0.06 sec
[09:48:01]  START OUTLET         : 0.13 sec
[09:48:01]  START OUTLET         : 0.07 sec
[09:48:01]  START OUTLET         : 0.13 sec
[09:48:01]  START OUTLET         : 0.07 sec
[09:48:01]  START OUTLET         : 0.14 sec
[09:48:01]  START OUTLET         : 0.08 sec
[09:48:01]  START OUTLET         : 0.11 sec
[09:48:02]  START OUTLET         : 0.08 sec
[09:48:02]  START OUTLET         : 0.12 sec
[09:48:02]  START OUTLET         : 0.08 sec
[09:48:02]  START OUTLET         : 0.13 sec
[09:48:02]  START OUTLET         : 0.07 sec
[09:48:02]  START OUTLET         : 0.13 sec
[09:48:02]  START OUTLET         : 0.07 sec
[09:48:02]  START OUTLET         : 0.12 sec
[09:48:02]  START OUTLET         : 0.09 sec
[09:48:02]  START OUTLET         : 0.13 sec
[09:48:03]  START OUTLET         : 0.07 sec
[09:48:03]  START OUTLET         : 0.13 sec
[09:48:03]  START OUTLET         : 0.07 sec
[09:48:03]  START OUTLET         : 0.14 sec
[09:48:03]  START OUTLET         : 0.07 sec
[09:48:03]  START OUTLET         : 0.13 sec
[09:48:03]  START OUTLET         : 0.07 sec
[09:48:03]  START OUTLET         : 0.14 sec
[09:48:03]  START OUTLET         : 0.06 sec
[09:48:03]  START OUTLET         : 0.13 sec
[09:48:04]  START OUTLET         : 0.07 sec
[09:48:04]  START OUTLET         : 0.14 sec
[09:48:04]  START OUTLET         : 0.06 sec
[09:48:04]  START OUTLET         : 0.14 sec
[09:48:04]  START OUTLET         : 0.07 sec
[09:48:04]  START OUTLET         : 0.13 sec
[09:48:04]  START OUTLET         : 0.07 sec
[09:48:04]  START OUTLET         : 0.13 sec
[09:48:04]  START OUTLET         : 0.07 sec
[09:48:04]  START OUTLET         : 0.12 sec
[09:48:05]  START OUTLET         : 0.08 sec
[09:48:05]  START OUTLET         : 0.12 sec
[09:48:05]  START OUTLET         : 0.07 sec
[09:48:05]  START OUTLET         : 0.13 sec
[09:48:05]  START OUTLET         : 0.07 sec
[09:48:05]  START OUTLET         : 0.14 sec
[09:48:05]  START OUTLET         : 0.07 sec
[09:48:05]  START OUTLET         : 0.14 sec
[09:48:05]  START OUTLET         : 0.07 sec
[09:48:05]  START OUTLET         : 0.12 sec
[09:48:06]  START OUTLET         : 0.07 sec
[09:48:06]  START OUTLET         : 0.12 sec
[09:48:06]  START OUTLET         : 0.08 sec
[09:48:06]  START OUTLET         : 0.14 sec
[09:48:06]  START OUTLET         : 0.05 sec
[09:48:06]  START OUTLET         : 0.14 sec
[09:48:06]  START OUTLET         : 0.06 sec
[09:48:06]  START OUTLET         : 0.13 sec
[09:48:06]  START OUTLET         : 0.08 sec
[09:48:06]  START OUTLET         : 0.13 sec
[09:48:07]  START OUTLET         : 0.07 sec
[09:48:07]  START OUTLET         : 0.13 sec
[09:48:07]  START OUTLET         : 0.07 sec
[09:48:07]  START OUTLET         : 0.11 sec
[09:48:07]  START OUTLET         : 0.08 sec
[09:48:07]  START OUTLET         : 0.12 sec
[09:48:07]  START OUTLET         : 0.08 sec
[09:48:07]  START OUTLET         : 0.14 sec
[09:48:07]  START OUTLET         : 0.07 sec
[09:48:07]  START OUTLET         : 0.12 sec
[09:48:08]  START OUTLET         : 0.07 sec
[09:48:08]  START OUTLET         : 0.12 sec
